Saving file... detailDownsampled.csv
Saving file... detailVolDownsampled.csv
Saving file... detailTempDownsampled.csv
         9069802 function calls (8944310 primitive calls) in 11.970 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   159758    0.124    0.000    0.124    0.000 blocks.py:351(iget)
        6    0.000    0.000    0.011    0.002 blocks.py:733(to_native_types)
    20884    0.146    0.000    0.250    0.000 cast.py:1257(maybe_castable)
       51    0.000    0.000    0.002    0.000 cast.py:1273(maybe_infer_to_datetimelike)
    20898    0.163    0.000    0.390    0.000 cast.py:1379(maybe_cast_to_datetime)
    20835    0.244    0.000    2.310    0.000 cast.py:1517(find_common_type)
    41670    0.030    0.000    0.110    0.000 cast.py:1541(<genexpr>)
    83340    0.043    0.000    0.060    0.000 cast.py:1547(<genexpr>)
    41670    0.022    0.000    0.051    0.000 cast.py:1556(<genexpr>)
    41670    0.019    0.000    0.041    0.000 cast.py:1558(<genexpr>)
    83340    0.054    0.000    0.602    0.000 cast.py:1563(<genexpr>)
        9    0.000    0.000    0.000    0.000 cast.py:1617(construct_1d_object_array_from_listlike)
    20869    0.026    0.000    0.074    0.000 cast.py:1642(construct_1d_ndarray_preserving_na)
        3    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
        3    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        3    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
      352    0.002    0.000    0.018    0.000 codecs.py:319(decode)
      352    0.001    0.000    0.001    0.000 codecs.py:331(getstate)
        3    0.000    0.000    0.000    0.000 common.py:101(__enter__)
        3    0.000    0.000    0.001    0.000 common.py:104(__exit__)
        6    0.000    0.000    0.000    0.000 common.py:108(is_url)
       15    0.000    0.000    0.000    0.000 common.py:1187(needs_i8_conversion)
       18    0.000    0.000    0.000    0.000 common.py:126(_expand_user)
        9    0.000    0.000    0.000    0.000 common.py:1276(is_string_like_dtype)
       46    0.000    0.000    0.000    0.000 common.py:129(cast_scalar_indexer)
        9    0.000    0.000    0.000    0.000 common.py:1304(<lambda>)
    21033    0.040    0.000    0.104    0.000 common.py:1307(is_float_dtype)
    62619    0.145    0.000    0.549    0.000 common.py:1341(is_bool_dtype)
        3    0.000    0.000    0.000    0.000 common.py:145(validate_header_arg)
   167399    0.226    0.000    0.593    0.000 common.py:1470(is_extension_array_dtype)
       12    0.000    0.000    0.000    0.000 common.py:154(stringify_path)
       82    0.000    0.000    0.001    0.000 common.py:1551(_is_dtype)
       12    0.000    0.000    0.000    0.000 common.py:157(ensure_python_int)
   104322    0.066    0.000    0.103    0.000 common.py:1575(get_dtype)
   105027    0.125    0.000    0.232    0.000 common.py:1610(_is_dtype_type)
        6    0.000    0.000    0.000    0.000 common.py:170(all_none)
       12    0.000    0.000    0.000    0.000 common.py:174(<genexpr>)
    20847    0.030    0.000    0.103    0.000 common.py:1743(validate_all_hashable)
    41694    0.026    0.000    0.047    0.000 common.py:1762(<genexpr>)
    20919    0.029    0.000    0.044    0.000 common.py:1769(pandas_dtype)
    83811    0.034    0.000    0.034    0.000 common.py:185(classes)
    83811    0.040    0.000    0.057    0.000 common.py:187(<lambda>)
    21216    0.009    0.000    0.009    0.000 common.py:190(classes_and_not_datetimelike)
    21216    0.012    0.000    0.017    0.000 common.py:195(<lambda>)
       21    0.000    0.000    0.000    0.000 common.py:198(asarray_tuplesafe)
        6    0.000    0.000    0.000    0.000 common.py:198(is_fsspec_url)
    62760    0.085    0.000    0.236    0.000 common.py:201(is_object_dtype)
        6    0.000    0.000    0.001    0.000 common.py:210(_get_filepath_or_buffer)
    20914    0.055    0.000    0.108    0.000 common.py:231(is_sparse)
        3    0.000    0.000    0.000    0.000 common.py:254(maybe_iterable_to_list)
    20838    0.016    0.000    0.022    0.000 common.py:317(apply_if_callable)
    62517    0.055    0.000    0.073    0.000 common.py:355(is_datetime64_dtype)
    41755    0.059    0.000    0.282    0.000 common.py:388(is_datetime64tz_dtype)
        6    0.000    0.000    0.000    0.000 common.py:403(get_compression_method)
    41718    0.030    0.000    0.042    0.000 common.py:429(is_timedelta64_dtype)
        6    0.000    0.000    0.000    0.000 common.py:438(infer_compression)
    20971    0.028    0.000    0.174    0.000 common.py:463(is_period_dtype)
        6    0.000    0.000    0.003    0.001 common.py:491(get_handle)
    20971    0.037    0.000    0.193    0.000 common.py:499(is_interval_dtype)
    21313    0.032    0.000    0.149    0.000 common.py:537(is_categorical_dtype)
       73    0.000    0.000    0.001    0.000 common.py:573(is_string_dtype)
       24    0.000    0.000    0.001    0.000 common.py:602(condition)
       15    0.000    0.000    0.001    0.000 common.py:605(is_excluded_dtype)
       60    0.000    0.000    0.000    0.000 common.py:610(<genexpr>)
    20835    0.035    0.000    0.080    0.000 common.py:615(is_dtype_equal)
    21180    0.035    0.000    0.094    0.000 common.py:703(is_integer_dtype)
    20835    0.043    0.000    0.182    0.000 common.py:75(is_bool_indexer)
       18    0.000    0.000    0.000    0.000 common.py:757(is_signed_integer_dtype)
        6    0.000    0.000    0.000    0.000 common.py:793(_maybe_memory_map)
        6    0.000    0.000    0.001    0.000 common.py:81(close)
       18    0.000    0.000    0.000    0.000 common.py:813(is_unsigned_integer_dtype)
       12    0.000    0.000    0.000    0.000 common.py:846(_is_binary_mode)
       42    0.000    0.000    0.000    0.000 common.py:912(is_datetime64_any_dtype)
       12    0.000    0.000    0.000    0.000 config.py:104(_get_option)
       12    0.000    0.000    0.000    0.000 config.py:232(__call__)
       12    0.000    0.000    0.000    0.000 config.py:537(_select_options)
       12    0.000    0.000    0.000    0.000 config.py:555(_get_root)
       24    0.000    0.000    0.000    0.000 config.py:569(_get_deprecated_option)
       12    0.000    0.000    0.000    0.000 config.py:596(_translate_key)
       12    0.000    0.000    0.000    0.000 config.py:608(_warn_if_deprecated)
       12    0.000    0.000    0.000    0.000 config.py:86(_get_single_key)
        3    0.000    0.000    0.207    0.069 construction.py:241(init_dict)
        6    0.000    0.000    0.106    0.018 construction.py:333(_homogenize)
    20890    0.023    0.000    0.113    0.000 construction.py:354(extract_array)
    20887    0.179    0.000    2.008    0.000 construction.py:423(sanitize_array)
        3    0.000    0.000    0.122    0.041 construction.py:502(to_arrays)
        3    0.072    0.024    0.072    0.024 construction.py:551(<listcomp>)
    20887    0.142    0.000    1.171    0.000 construction.py:554(_try_cast)
        3    0.000    0.000    0.051    0.017 construction.py:555(_list_to_arrays)
    20847    0.027    0.000    0.101    0.000 construction.py:612(is_empty_data)
        6    0.000    0.000    0.213    0.036 construction.py:62(arrays_to_mgr)
        3    0.000    0.000    0.002    0.001 construction.py:632(create_series_with_explicit_dtype)
        3    0.000    0.000    0.000    0.000 construction.py:655(_validate_or_indexify_columns)
        3    0.000    0.000    0.043    0.014 construction.py:713(_convert_object_array)
       23    0.000    0.000    0.042    0.002 construction.py:730(convert)
        3    0.000    0.000    0.043    0.014 construction.py:736(<listcomp>)
        1    0.000    0.000    0.001    0.001 csvs.py:1(<module>)
        3    0.000    0.000    0.000    0.000 csvs.py:100(_initialize_index_label)
        3    0.000    0.000    0.000    0.000 csvs.py:109(_get_index_label_from_obj)
        3    0.000    0.000    0.000    0.000 csvs.py:118(_get_index_label_flat)
        3    0.000    0.000    0.000    0.000 csvs.py:122(_initialize_quotechar)
        9    0.000    0.000    0.000    0.000 csvs.py:128(has_mi_columns)
        3    0.000    0.000    0.001    0.000 csvs.py:132(_initialize_columns)
        3    0.000    0.000    0.000    0.000 csvs.py:154(_initialize_chunksize)
        9    0.000    0.000    0.000    0.000 csvs.py:159(_number_format)
        6    0.000    0.000    0.000    0.000 csvs.py:170(data_index)
        3    0.000    0.000    0.000    0.000 csvs.py:182(nlevels)
        6    0.000    0.000    0.000    0.000 csvs.py:189(_has_aliases)
        3    0.000    0.000    0.000    0.000 csvs.py:193(_need_to_save_header)
        3    0.000    0.000    0.000    0.000 csvs.py:197(write_cols)
